architecture_id	total_junctions	min_rank	max_rank	avg_rank	num_strong_0.5	num_strong_1.0	num_strong_2.0
C01_H01_B257	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B258	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B259	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B260	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B261	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B262	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B263	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B264	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B265	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B266	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B267	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B268	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B269	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B270	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B271	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B272	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B273	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B274	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B275	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B276	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B277	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B278	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B279	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B280	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B281	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B282	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B283	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B284	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B285	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B286	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B287	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B288	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B289	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B290	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B291	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B292	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B293	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B294	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B295	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B296	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B297	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B298	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B299	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B300	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B301	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B302	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B303	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B304	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B305	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B306	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B307	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B308	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B309	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B310	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B311	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B312	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B313	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B314	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B315	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B316	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B317	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B318	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B319	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B320	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B321	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B322	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B323	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B324	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B325	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B326	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B327	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B328	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B329	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B330	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B331	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B332	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B333	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B334	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B335	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B336	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B337	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B338	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B339	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B340	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B341	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B342	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B343	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B344	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B345	72	0.0596	86.6667	30.61370833333333	1	4	6
C01_H01_B346	72	0.0596	86.6667	30.61370833333333	1	4	6
